patch_file,original_file,x,y,width,height,aspect_ratio
10021_patch_1.png,10021.png,0,0,67,99,0.6767676767676768
10028_patch_1.png,10028.png,33,290,82,36,2.2777777777777777
10045_patch_1.png,10045.png,182,535,7,5,1.4
10047_patch_1.png,10047.png,0,430,188,207,0.9082125603864735
10057_patch_1.png,10057.png,57,355,42,61,0.6885245901639344
10060_patch_1.png,10060.png,53,0,53,49,1.0816326530612246
10065_patch_1.png,10065.png,72,203,68,66,1.0303030303030303
10084_patch_1.png,10084.png,198,106,24,73,0.3287671232876712
10090_patch_1.png,10090.png,0,571,44,23,1.9130434782608696
10135_patch_1.png,10135.png,8,56,69,103,0.6699029126213593
10145_patch_1.png,10145.png,45,532,35,46,0.7608695652173914
10157_patch_1.png,10157.png,0,0,62,150,0.41333333333333333
10159_patch_1.png,10159.png,22,77,109,266,0.40977443609022557
10201_patch_1.png,10201.png,0,262,124,158,0.7848101265822784
10206_patch_1.png,10206.png,14,0,74,261,0.2835249042145594
10208_patch_1.png,10208.png,57,474,136,91,1.4945054945054945
10223_patch_1.png,10223.png,30,238,126,103,1.2233009708737863
10235_patch_1.png,10235.png,79,324,150,237,0.6329113924050633
10244_patch_1.png,10244.png,126,581,41,61,0.6721311475409836
10247_patch_1.png,10247.png,110,517,101,108,0.9351851851851852
10254_patch_1.png,10254.png,24,330,44,63,0.6984126984126984
10258_patch_1.png,10258.png,21,291,175,89,1.9662921348314606
10266_patch_1.png,10266.png,22,394,15,25,0.6
10273_patch_1.png,10273.png,87,0,56,173,0.3236994219653179
10281_patch_1.png,10281.png,60,198,80,75,1.0666666666666667
10301_patch_1.png,10301.png,102,583,119,62,1.9193548387096775
10304_patch_1.png,10304.png,6,327,56,14,4.0
10306_patch_1.png,10306.png,0,370,118,239,0.49372384937238495
10308_patch_1.png,10308.png,133,440,94,160,0.5875
10309_patch_1.png,10309.png,5,155,222,242,0.9173553719008265
10312_patch_1.png,10312.png,57,485,81,32,2.53125
10312_patch_2.png,10312.png,147,493,69,99,0.696969696969697
10335_patch_1.png,10335.png,203,389,29,18,1.6111111111111112
10337_patch_1.png,10337.png,6,358,25,97,0.25773195876288657
10344_patch_1.png,10344.png,32,4,37,44,0.8409090909090909
10345_patch_1.png,10345.png,146,188,30,32,0.9375
10352_patch_1.png,10352.png,2,258,51,35,1.457142857142857
10352_patch_2.png,10352.png,119,268,67,27,2.4814814814814814
10354_patch_1.png,10354.png,41,578,58,50,1.16
10367_patch_1.png,10367.png,173,288,57,15,3.8
10382_patch_1.png,10382.png,89,151,142,125,1.136
10383_patch_1.png,10383.png,83,238,60,82,0.7317073170731707
10396_patch_1.png,10396.png,1,78,42,74,0.5675675675675675
10401_patch_1.png,10401.png,74,272,88,102,0.8627450980392157
10402_patch_1.png,10402.png,137,300,69,32,2.15625
10403_patch_1.png,10403.png,52,398,22,76,0.2894736842105263
10414_patch_1.png,10414.png,29,336,124,78,1.5897435897435896
10421_patch_1.png,10421.png,0,347,230,79,2.911392405063291
10423_patch_1.png,10423.png,85,331,46,45,1.0222222222222221
10423_patch_2.png,10423.png,151,375,29,56,0.5178571428571429
10426_patch_1.png,10426.png,67,415,47,45,1.0444444444444445
10457_patch_1.png,10457.png,0,404,21,35,0.6
10466_patch_1.png,10466.png,0,397,42,108,0.3888888888888889
10478_patch_1.png,10478.png,123,496,106,97,1.092783505154639
10487_patch_1.png,10487.png,51,291,44,19,2.3157894736842106
10499_patch_1.png,10499.png,0,532,37,116,0.31896551724137934
10502_patch_1.png,10502.png,66,24,14,22,0.6363636363636364
10506_patch_1.png,10506.png,51,339,78,25,3.12
10514_patch_1.png,10514.png,116,338,63,27,2.3333333333333335
10516_patch_1.png,10516.png,0,18,127,90,1.4111111111111112
10536_patch_1.png,10536.png,0,0,71,116,0.6120689655172413
10554_patch_1.png,10554.png,52,437,136,78,1.7435897435897436
10557_patch_1.png,10557.png,139,508,42,58,0.7241379310344828
10569_patch_1.png,10569.png,0,486,124,156,0.7948717948717948
10574_patch_1.png,10574.png,118,397,72,123,0.5853658536585366
10583_patch_1.png,10583.png,127,269,24,48,0.5
10583_patch_2.png,10583.png,157,339,5,11,0.45454545454545453
10585_patch_1.png,10585.png,36,282,192,85,2.2588235294117647
10602_patch_1.png,10602.png,0,336,64,34,1.8823529411764706
10612_patch_1.png,10612.png,146,302,55,71,0.7746478873239436
10618_patch_1.png,10618.png,145,296,83,40,2.075
10628_patch_1.png,10628.png,0,248,40,137,0.291970802919708
10637_patch_1.png,10637.png,77,94,70,34,2.0588235294117645
10638_patch_1.png,10638.png,0,452,103,194,0.5309278350515464
10647_patch_1.png,10647.png,36,384,42,39,1.0769230769230769
10648_patch_1.png,10648.png,189,193,28,23,1.2173913043478262
10654_patch_1.png,10654.png,11,294,121,34,3.5588235294117645
10659_patch_1.png,10659.png,167,600,52,29,1.793103448275862
10661_patch_1.png,10661.png,32,326,112,40,2.8
10663_patch_1.png,10663.png,39,0,55,43,1.2790697674418605
10672_patch_1.png,10672.png,85,483,57,99,0.5757575757575758
10677_patch_1.png,10677.png,197,617,11,9,1.2222222222222223
10678_patch_1.png,10678.png,45,132,54,65,0.8307692307692308
10695_patch_1.png,10695.png,163,391,22,25,0.88
10695_patch_2.png,10695.png,156,517,40,39,1.0256410256410255
10707_patch_1.png,10707.png,0,227,30,32,0.9375
10711_patch_1.png,10711.png,108,421,16,15,1.0666666666666667
10712_patch_1.png,10712.png,115,301,108,89,1.2134831460674158
10714_patch_1.png,10714.png,3,542,64,19,3.3684210526315788
10727_patch_1.png,10727.png,195,32,23,32,0.71875
10729_patch_1.png,10729.png,91,99,14,68,0.20588235294117646
10743_patch_1.png,10743.png,98,0,108,85,1.2705882352941176
10756_patch_1.png,10756.png,94,548,71,98,0.7244897959183674
10770_patch_1.png,10770.png,118,297,44,34,1.2941176470588236
10774_patch_1.png,10774.png,78,152,55,27,2.037037037037037
10797_patch_1.png,10797.png,157,321,63,127,0.49606299212598426
10808_patch_1.png,10808.png,98,243,103,278,0.37050359712230213
10821_patch_1.png,10821.png,128,305,100,133,0.7518796992481203
10821_patch_2.png,10821.png,4,390,77,127,0.6062992125984252
10844_patch_1.png,10844.png,64,169,13,9,1.4444444444444444
10845_patch_1.png,10845.png,88,168,133,30,4.433333333333334
10846_patch_1.png,10846.png,114,558,117,84,1.3928571428571428
10849_patch_1.png,10849.png,0,143,21,89,0.23595505617977527
10849_patch_2.png,10849.png,190,201,41,56,0.7321428571428571
10869_patch_1.png,10869.png,13,527,195,82,2.3780487804878048
10874_patch_1.png,10874.png,62,292,14,9,1.5555555555555556
10893_patch_1.png,10893.png,1,334,45,37,1.2162162162162162
10900_patch_1.png,10900.png,103,0,33,50,0.66
10905_patch_1.png,10905.png,44,264,107,30,3.566666666666667
10907_patch_1.png,10907.png,0,432,226,147,1.5374149659863945
10951_patch_1.png,10951.png,0,345,69,37,1.864864864864865
10952_patch_1.png,10952.png,0,455,199,132,1.5075757575757576
