filename,label
10117.png,0
11141.png,0
12079.png,0
12199.png,0
11442.png,0
11564.png,0
10182.png,0
10273.png,1
10778.png,0
12279.png,0
10916.png,0
10122.png,0
12175.png,0
11245.png,0
10584.png,0
11164.png,0
11617.png,0
11764.png,0
10765.png,0
11549.png,1
11788.png,0
11755.png,1
11337.png,0
11522.png,0
10415.png,0
12195.png,0
10121.png,0
12120.png,0
11899.png,1
10879.png,0
11551.png,0
11100.png,0
11034.png,0
11848.png,0
10135.png,1
10038.png,0
10244.png,1
12190.png,0
10862.png,0
11265.png,0
11399.png,0
10590.png,0
12173.png,0
11402.png,0
12234.png,0
10651.png,0
11090.png,0
12212.png,0
11071.png,0
12283.png,0
10465.png,0
11717.png,0
11650.png,0
10857.png,0
12322.png,0
10476.png,0
12155.png,0
10410.png,0
11775.png,1
10952.png,1
10707.png,1
11291.png,0
11583.png,0
11176.png,0
11490.png,0
10007.png,0
10522.png,0
10309.png,1
11658.png,1
11273.png,0
10570.png,0
10344.png,1
12169.png,0
10600.png,0
10962.png,0
10268.png,0
10426.png,1
11379.png,0
11807.png,0
11535.png,0
10354.png,1
11246.png,0
12107.png,0
10108.png,0
10855.png,0
10776.png,0
11837.png,0
11665.png,0
10961.png,0
11119.png,0
11413.png,0
11174.png,0
12097.png,0
10902.png,0
11444.png,1
11705.png,0
10675.png,0
10644.png,0
11191.png,0
11217.png,0
10407.png,0
12137.png,0
10036.png,0
11598.png,0
10991.png,0
10263.png,0
10539.png,0
10717.png,0
10409.png,0
10613.png,0
11915.png,0
10246.png,0
10402.png,1
10225.png,0
10668.png,0
10910.png,0
11635.png,0
11673.png,0
11809.png,0
11920.png,1
11881.png,0
10278.png,0
11286.png,0
11933.png,0
11310.png,0
11006.png,0
10081.png,0
11208.png,0
11433.png,0
10171.png,0
10285.png,0
11188.png,0
11548.png,0
11660.png,0
10769.png,0
11504.png,0
11758.png,0
11142.png,0
11603.png,0
10475.png,0
10236.png,0
12055.png,0
11601.png,1
10564.png,0
10970.png,0
10669.png,0
10562.png,0
10969.png,0
11137.png,0
11957.png,1
10011.png,0
11289.png,0
10021.png,1
10838.png,0
11387.png,0
11963.png,0
11407.png,0
10080.png,0
11013.png,0
11699.png,0
10480.png,0
11592.png,0
11272.png,0
10478.png,1
12183.png,0
10638.png,1
12302.png,0
11145.png,0
11298.png,0
10807.png,0
11454.png,0
12032.png,0
11997.png,0
10819.png,0
10131.png,0
12329.png,0
11158.png,0
10612.png,1
10881.png,0
11898.png,0
10055.png,0
10138.png,0
10516.png,1
11401.png,0
10772.png,0
10631.png,0
10125.png,0
12176.png,0
10275.png,0
11161.png,0
10852.png,0
10333.png,0
12089.png,0
10863.png,0
10015.png,0
12066.png,0
10146.png,0
11269.png,1
11373.png,0
10773.png,0
11035.png,0
10680.png,0
11250.png,1
12038.png,0
11278.png,0
10976.png,0
10887.png,0
10677.png,1
11467.png,0
11740.png,0
11752.png,0
10699.png,0
12233.png,1
10572.png,0
11655.png,0
11653.png,0
10622.png,0
10510.png,0
11969.png,1
12139.png,0
10404.png,0
11385.png,0
11770.png,1
10569.png,1
11103.png,0
11706.png,0
11875.png,0
10027.png,0
10272.png,0
11022.png,0
10691.png,0
12103.png,0
11851.png,1
10248.png,0
12301.png,1
11377.png,0
11110.png,0
10710.png,0
10339.png,0
12106.png,0
11346.png,0
10002.png,0
11641.png,1
11060.png,0
10732.png,0
10722.png,0
10170.png,0
10894.png,0
11004.png,0
11726.png,0
10748.png,0
10041.png,0
12277.png,0
10713.png,0
10556.png,0
11637.png,0
10395.png,0
12142.png,0
10444.png,0
10006.png,0
12172.png,0
10782.png,0
10847.png,0
11870.png,1
11349.png,0
11143.png,0
12269.png,0
11165.png,0
12242.png,0
10376.png,0
10193.png,0
12265.png,0
11478.png,0
11443.png,0
10496.png,0
11880.png,0
10486.png,0
10737.png,0
10784.png,0
10824.png,0
11628.png,0
12266.png,0
10310.png,0
10853.png,0
12147.png,0
11942.png,0
10035.png,0
10686.png,0
11633.png,0
11921.png,0
10789.png,0
11821.png,0
10813.png,0
12143.png,0
11907.png,0
12002.png,0
10905.png,1
12117.png,0
10173.png,0
10558.png,0
