filename,x_norm,y_norm,w_norm,h_norm,area_norm,aspect_ratio,orientation,x,y,w,h,class_id,patch_path
10273,0.3782608695652174,0.0,0.24347826086956523,0.2698907956318253,0.06571254154514007,0.3236994219653179,1,87,0,56,173,3,runs/kolektor_patches\class_3\10273_0.png
11549,0.2962962962962963,0.5362776025236593,0.1388888888888889,0.12302839116719243,0.01708727655099895,0.38461538461538464,1,64,340,30,78,1,runs/kolektor_patches\class_1\11549_1.png
11549,0.2824074074074074,0.638801261829653,0.009259259259259259,0.007886435331230283,7.302254936324337e-05,0.4,1,61,405,2,5,1,runs/kolektor_patches\class_1\11549_2.png
11549,0.0,0.8359621451104101,0.09259259259259259,0.1640378548895899,0.01518869026755462,0.19230769230769232,1,0,530,20,104,1,runs/kolektor_patches\class_1\11549_3.png
11755,0.06437768240343347,0.5141065830721003,0.3261802575107296,0.0438871473354232,0.01431512101927967,2.7142857142857144,0,15,328,76,28,1,runs/kolektor_patches\class_1\11755_4.png
11899,0.0,0.375,0.3392070484581498,0.19936708860759494,0.0676267216862767,0.6111111111111112,1,0,237,77,126,0,runs/kolektor_patches\class_0\11899_5.png
10135,0.034782608695652174,0.08668730650154799,0.3,0.15944272445820434,0.0478328173374613,0.6699029126213593,1,8,56,69,103,0,runs/kolektor_patches\class_0\10135_6.png
10244,0.5454545454545454,0.9049844236760125,0.1774891774891775,0.09501557632398754,0.016864236490404715,0.6721311475409836,1,126,581,41,61,4,runs/kolektor_patches\class_4\10244_7.png
11775,0.6986899563318777,0.4344391785150079,0.30131004366812225,0.09636650868878358,0.02903619694116186,1.1311475409836065,0,160,275,69,61,4,runs/kolektor_patches\class_4\11775_8.png
10952,0.0,0.7076205287713841,0.8728070175438597,0.2052877138413686,0.17917655725628223,1.5075757575757576,0,0,455,199,132,1,runs/kolektor_patches\class_1\10952_9.png
10707,0.0,0.35524256651017216,0.12875536480686695,0.050078247261345854,0.006447842995023071,0.9375,1,0,227,30,32,0,runs/kolektor_patches\class_0\10707_10.png
10309,0.022026431718061675,0.2440944881889764,0.9779735682819384,0.38110236220472443,0.37270803704603006,0.9173553719008265,1,5,155,222,242,0,runs/kolektor_patches\class_0\10309_11.png
11658,0.8859649122807017,0.5235109717868338,0.11403508771929824,0.017241379310344827,0.0019661222020568663,2.3636363636363638,0,202,334,26,11,4,runs/kolektor_patches\class_4\11658_12.png
10344,0.1391304347826087,0.006309148264984227,0.1608695652173913,0.0694006309148265,0.011164449321080785,0.8409090909090909,1,32,4,37,44,0,runs/kolektor_patches\class_0\10344_13.png
10426,0.2925764192139738,0.6484375,0.2052401746724891,0.0703125,0.014430949781659388,1.0444444444444445,0,67,415,47,45,1,runs/kolektor_patches\class_1\10426_14.png
10354,0.18222222222222223,0.9203821656050956,0.2577777777777778,0.07961783439490445,0.020523708421797595,1.16,0,41,578,58,50,1,runs/kolektor_patches\class_1\10354_15.png
11444,0.14468085106382977,0.03554868624420402,0.14042553191489363,0.03554868624420402,0.004991943174718011,1.434782608695652,0,34,23,33,23,0,runs/kolektor_patches\class_0\11444_16.png
11444,0.1148936170212766,0.312210200927357,0.0851063829787234,0.0571870170015456,0.004866980170344306,0.5405405405405406,1,27,202,20,37,0,runs/kolektor_patches\class_0\11444_17.png
11444,0.07659574468085106,0.6136012364760433,0.16595744680851063,0.06800618238021638,0.011286132395014635,0.8863636363636364,1,18,397,39,44,1,runs/kolektor_patches\class_1\11444_18.png
10402,0.6008771929824561,0.46801872074882994,0.3026315789473684,0.0499219968798752,0.01510797273996223,2.15625,0,137,300,69,32,4,runs/kolektor_patches\class_4\10402_19.png
11920,0.0,0.5588697017268446,0.1341991341991342,0.03139717425431711,0.004213473601228704,1.55,0,0,356,31,20,1,runs/kolektor_patches\class_1\11920_20.png
11601,0.6738197424892703,0.4230171073094868,0.27896995708154504,0.1166407465007776,0.032539264045281305,0.8666666666666667,1,157,272,65,75,4,runs/kolektor_patches\class_4\11601_21.png
11957,0.8672566371681416,0.0,0.13274336283185842,0.0904836193447738,0.01201109991302307,0.5172413793103449,1,196,0,30,58,3,runs/kolektor_patches\class_3\11957_22.png
10021,0.0,0.0,0.29385964912280704,0.15254237288135594,0.04482604817127565,0.6767676767676768,1,0,0,67,99,0,runs/kolektor_patches\class_0\10021_23.png
10478,0.537117903930131,0.779874213836478,0.462882096069869,0.15251572327044025,0.07059679767103348,1.092783505154639,0,123,496,106,97,4,runs/kolektor_patches\class_4\10478_24.png
10638,0.0,0.6996904024767802,0.5364583333333334,0.30030959752321984,0.16110358617131063,0.5309278350515464,1,0,452,103,194,1,runs/kolektor_patches\class_1\10638_25.png
10612,0.6666666666666666,0.47709320695102686,0.2511415525114155,0.11216429699842022,0.02816911568453476,0.7746478873239436,1,146,302,55,71,4,runs/kolektor_patches\class_4\10612_26.png
10516,0.0,0.02843601895734597,0.5474137931034483,0.14218009478672985,0.0778313449910116,1.4111111111111112,0,0,18,127,90,0,runs/kolektor_patches\class_0\10516_27.png
11269,0.2457627118644068,0.3582554517133956,0.07627118644067797,0.017133956386292833,0.0013068271820053858,1.6363636363636365,0,58,230,18,11,0,runs/kolektor_patches\class_0\11269_28.png
11250,0.5043103448275862,0.6138147566718996,0.49137931034482757,0.08948194662480377,0.04396957722080875,2.0,0,117,391,114,57,4,runs/kolektor_patches\class_4\11250_29.png
10677,0.8382978723404255,0.9655712050078247,0.04680851063829787,0.014084507042253521,0.0006592747977225053,1.2222222222222223,0,197,617,11,9,4,runs/kolektor_patches\class_4\10677_30.png
12233,0.27074235807860264,0.3536,0.7292576419213974,0.1408,0.10267947598253276,1.8977272727272727,0,62,221,167,88,0,runs/kolektor_patches\class_0\12233_31.png
11969,0.6960352422907489,0.7745571658615137,0.0881057268722467,0.07407407407407407,0.0065263501386849405,0.43478260869565216,1,158,481,20,46,4,runs/kolektor_patches\class_4\11969_32.png
11770,0.0,0.6977848101265823,0.45089285714285715,0.3022151898734177,0.13626667043399637,0.5287958115183246,1,0,441,101,191,1,runs/kolektor_patches\class_1\11770_33.png
10569,0.0,0.7570093457943925,0.5414847161572053,0.24299065420560748,0.13157572542137697,0.7948717948717948,1,0,486,124,156,1,runs/kolektor_patches\class_1\10569_34.png
11851,0.33620689655172414,0.84472049689441,0.1206896551724138,0.15527950310559005,0.018740629685157422,0.28,1,78,544,28,100,1,runs/kolektor_patches\class_1\11851_35.png
